Tamanho,Threads,Tempo
1000000,84,1083481
1000000,85,950427
1000000,86,949643
1000000,87,950311
1000000,88,1581200
1000000,89,1787648
1000000,90,1460609
1000000,91,1149131
1000000,92,1055278
1000000,93,1505614
1000000,94,1546900
1000000,95,1157067
1000000,96,1172463
1000000,97,2182526
1000000,98,2000327
1000000,99,1286056
1000000,100,1886754
10000000,1,23888754
10000000,2,15387429
10000000,3,17057072
10000000,4,12955898
10000000,5,15106600
10000000,6,18968229
10000000,7,28649753
10000000,8,14649299
10000000,9,16949359
10000000,10,13487127
10000000,11,14733550
10000000,12,25302540
10000000,13,36897726
10000000,14,14900362
10000000,15,13540299
10000000,16,14970332
10000000,17,24398902
10000000,18,14918933
10000000,19,17312738
10000000,20,14018314
10000000,21,14252621
10000000,22,14482041
10000000,23,20876252
10000000,24,18191350
10000000,25,17130370
10000000,26,13494167
10000000,27,13150357
10000000,28,18650936
10000000,29,20279339
10000000,30,23637270
10000000,31,14720431
10000000,32,14640378
10000000,33,27529165
10000000,34,13860756
10000000,35,15109786
10000000,36,14299412
10000000,37,13039341
10000000,38,15012878
10000000,39,23634685
10000000,40,13963927
10000000,41,16219785
10000000,42,13660679
10000000,43,14443414
10000000,44,21468628
10000000,45,18220178
10000000,46,17104366
10000000,47,14032845
10000000,48,12964822
10000000,49,21438603
10000000,50,21400912
10000000,51,29288867
10000000,52,13746030
10000000,53,12866777
10000000,54,23402906
10000000,55,15223776
10000000,56,17292678
10000000,57,13706689
10000000,58,13472423
10000000,59,25977833
10000000,60,14561834
10000000,61,14295971
10000000,62,16457903
10000000,63,13351861
10000000,64,15505988
10000000,65,26987361
10000000,66,18221262
10000000,67,29324301
10000000,68,15781402
10000000,69,18329306
10000000,70,26251054
10000000,71,15385104
10000000,72,16639198
10000000,73,12664467
10000000,74,13956258
10000000,75,23338523
10000000,76,17063119
10000000,77,14932342
10000000,78,15527240
10000000,79,13400212
10000000,80,16098033
10000000,81,23685661
10000000,82,13764564
10000000,83,16797139
10000000,84,13306528
10000000,85,14419660
10000000,86,25232173
10000000,87,13310969
10000000,88,17336133
10000000,89,13628312
10000000,90,13817345
10000000,91,21882679
10000000,92,18583941
10000000,93,14983321
10000000,94,16155436
10000000,95,13674724
10000000,96,14824256
10000000,97,24399698
10000000,98,13815525
10000000,99,16595516
10000000,100,12924454
100000000,1,229351974
100000000,2,254708040
100000000,3,139406328
100000000,4,133613435
100000000,5,133837813
100000000,6,137174392
100000000,7,141799936
100000000,8,134042650
100000000,9,134307381
100000000,10,142771196
100000000,11,134001426
100000000,12,141190332
100000000,13,130180567
100000000,14,139039353
100000000,15,124607353
100000000,16,137337638
100000000,17,127985228
100000000,18,142079352
100000000,19,132037188
100000000,20,149257073
100000000,21,136758884
100000000,22,137169790
100000000,23,142241573
100000000,24,132477974
100000000,25,135344414
100000000,26,139120178
100000000,27,142919926
100000000,28,134414240
100000000,29,135977766
100000000,30,149432582
100000000,31,140017686
100000000,32,151732761
100000000,33,149887612
100000000,34,131641843
100000000,35,145042287
100000000,36,135159103
100000000,37,139448761
100000000,38,133127894
100000000,39,142170319
100000000,40,131138418
100000000,41,190103503
100000000,42,189287669
100000000,43,264246164
100000000,44,234790014
100000000,45,128149539
100000000,46,166842077
100000000,47,147273652
100000000,48,131756986
100000000,49,141163870
100000000,50,128668994
100000000,51,145117081
100000000,52,184192995
100000000,53,299530336
100000000,54,278456626
100000000,55,260653854
100000000,56,141197568
100000000,57,161623103
100000000,58,164028723
100000000,59,153336173
100000000,60,202804906
100000000,61,150282037
100000000,62,260105251
100000000,63,163876993
100000000,64,152305913
100000000,65,237077624
100000000,66,203096198
100000000,67,145244828
100000000,68,239979194
100000000,69,148181711
100000000,70,129964870
100000000,71,141198955
100000000,72,133403073
100000000,73,139944781
100000000,74,136963438
100000000,75,140053233
100000000,76,172527278
100000000,77,144194616
100000000,78,140862744
100000000,79,130495137
100000000,80,139508971
100000000,81,153677370
100000000,82,143033533
100000000,83,133225263
100000000,84,125877438
100000000,85,144449079
100000000,86,128194296
100000000,87,141214880
100000000,88,138752874
100000000,89,164700684
100000000,90,140711726
100000000,91,137404802
100000000,92,147618548
100000000,93,158270745
100000000,94,136484638
100000000,95,140060736
100000000,96,134070909
100000000,97,139758051
100000000,98,129216568
100000000,99,162824585
100000000,100,178299852
